Category,Product,Company,Capacity,CU,Unit
Others,Lyocell原絲,1466 聚隆,960,81.35,公噸
Others,OE紗,1440 南紡,30000,104.25,件
Others,毛紗,1456 怡華,2430,0,公噸
Others,加工絲(DTY),1402 遠東新,52440,81.61,公噸
Others,加工絲(DTY),1440 南紡,14400,106.08,公噸
Others,加工絲(DTY),1444 力麗,133177,79.83,公噸
Others,加工絲(DTY),1455 集盛,55800,87.11,公噸
Others,加工絲(DTY),1465 偉全,1902,67.25,仟碼/公噸
Nylon,尼龍加工絲,1466 聚隆,22000,89.7,公噸
Nylon,尼龍粒,1447 力鵬,411754,47.89,公噸
Nylon,尼龍粒,1455 集盛,200400,82.92,公噸
Nylon,尼龍絲,1326 台化,125400,97.27,千碼
Nylon,尼龍絲,1447 力鵬,45868,79.69,公噸
Nylon,尼龍絲,1455 集盛,48000,77.16,公噸
Nylon,尼龍絲,1466 聚隆,43000,80.6,公噸
Others,玻璃纖維絲,1303 南亞,212000,97.55,公噸
Nylon,尼龍粒,1326 台化,134000,97.04,千碼
Others,胚紗,1402 遠東新,390733,89.76,件
Others,原絲,1440 南紡,64800,97.31,公噸
Others,氣撚紗,1468 昶和,2500,91.88,千公斤
Others,特多龍加工絲,4406 新昕纖,13941,93.62,公噸
Others,棉紗,1440 南紡,816000,90.61,件
Others,棉紗,1456 怡華,9720,0,公噸
Others,嫘縈棉,1326 台化,78840,92.27,公噸
Polyester,聚酯加工絲,1452 宏益,28344,95.17,公噸
Polyester,聚酯加工絲,1457 宜進,46004,79.71,公噸
Polyester,聚酯加工絲,1466 聚隆,5000,84.3,公噸
Polyester,聚酯加工絲,4420 光明,18404,89.65,千碼/千公斤
Polyester,聚酯粒,1402 遠東新,1959600,78.22,公噸
Polyester,聚酯粒,1413 宏洲,91800,98.65,公噸
Polyester,聚酯粒,1440 南紡,64800,95.46,公噸
Polyester,聚酯粒,1444 力麗,212760,92.74,公噸
Polyester,聚酯粒,1457 宜進,91800,98.65,公噸
Polyester,聚酯棉,1402 遠東新,451008,75.67,公噸
Polyester,聚酯棉,1440 南紡,118800,97.53,公噸
Polyester,聚酯絲,1402 遠東新,97260,82.21,公噸
Polyester,聚酯絲,1413 宏洲,80000,99.25,公噸
Polyester,聚酯絲,1444 力麗,104457,74.33,公噸
Polyester,聚酯絲,1457 宜進,80000,99.25,公噸
Polyester,聚酯絲,1466 聚隆,2000,49.65,公噸
Polyester,聚酯膜,1402 遠東新,20160,85.68,公噸
Polyester,聚酯纖維,1303 南亞,1703300,74.67,公噸
Polyester,聚酯纖維,1326 台化,146000,121.6,千碼
Polyester,聚酯纖維,1472 三洋紡,1000,16.5,公噸
Polyester,聚酯纖維加工絲,1459 聯發,75000,82.08,公噸
Nylon,尼龍纖維,1472 三洋紡,6000,45.68,公噸
